,number_minimas_per_func_metod,number_extra_descents_per_func_metod,number_minimas_per_func_multistart,time_metod,time_multistart
89,16.0,0.0,49.0,51.145641565322876,1323.8339052200317
90,17.0,0.0,48.0,51.579493045806885,1369.9640681743622
91,15.0,0.0,50.0,49.45201063156128,1351.6596474647522
92,17.0,0.0,49.0,53.85456967353821,1371.6262109279633
93,19.0,0.0,49.0,56.99253606796265,1380.8578312397003
94,15.0,0.0,49.0,49.21968936920166,1348.2152495384216
95,18.0,0.0,48.0,54.77877354621887,1362.5577189922333
96,16.0,0.0,50.0,52.46001839637756,1379.708535194397
97,16.0,0.0,50.0,51.24988579750061,1361.4090905189514
98,13.0,0.0,49.0,47.552552461624146,1361.5099129676819
99,15.0,0.0,49.0,48.03832459449768,1362.1310405731201
