,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart,total_times_minimizer_missed,total_no_times_inequals_sat
20,47.0,0.0,47.0,1697.1491024494171,1283.3871955871582,1.7034183029275113e-07,1.7034183029275113e-07,0.0,953.0
21,50.0,0.0,50.0,1353.829800605774,1395.2492818832397,1.5711697674266103e-07,1.5711697674266103e-07,0.0,950.0
22,49.0,0.0,49.0,1664.0021476745605,1363.1293096542358,1.08908958360613e-07,1.08908958360613e-07,0.0,951.0
23,48.0,0.0,48.0,1567.0118718147278,1677.625318288803,1.2910555213372756e-07,1.2910555213372756e-07,0.0,952.0
24,48.0,0.0,48.0,1669.7398414611816,1624.283697128296,1.1550939249294043e-07,1.1550939249294043e-07,0.0,952.0
25,47.0,0.0,47.0,1747.4881603717804,1740.5206499099731,7.818998167150574e-08,7.818998167150574e-08,0.0,953.0
26,48.0,0.0,48.0,1695.4019770622253,1676.9642369747162,8.69725549278651e-08,8.69725549278651e-08,0.0,952.0
27,49.0,0.0,49.0,1287.6887035369873,1092.6357798576355,7.610654747937959e-08,7.610654747937959e-08,0.0,951.0
28,48.0,0.0,48.0,1467.8563418388367,1573.8398604393005,1.222027814092876e-07,1.222027814092876e-07,0.0,952.0
29,46.0,0.0,46.0,1564.4409008026123,1619.7783243656158,1.6819838594915127e-07,1.6819838594915127e-07,0.0,954.0
30,49.0,0.0,49.0,1509.6256959438324,1095.2618243694305,1.7132979455528588e-07,1.7132979455528588e-07,0.0,951.0
31,47.0,0.0,47.0,1167.3201632499695,1071.6147031784058,1.0315477082558787e-07,1.0315477082558787e-07,0.0,953.0
32,49.0,0.0,49.0,1126.5911798477173,1092.3146963119507,7.277713956279115e-08,7.277713956279115e-08,0.0,951.0
33,50.0,0.0,50.0,1084.6811439990997,1063.7686460018158,1.1235066469245054e-07,1.1235066469245054e-07,0.0,950.0
34,49.0,0.0,49.0,1089.0497994422913,1077.3069014549255,1.256217963189723e-07,1.256217963189723e-07,0.0,951.0
35,45.0,0.0,45.0,1105.6563229560852,1082.4602930545807,1.63060009390562e-07,1.63060009390562e-07,0.0,955.0
36,49.0,0.0,49.0,1081.7903289794922,1104.809345960617,8.254488758891812e-08,8.254488758891812e-08,0.0,951.0
37,50.0,0.0,50.0,1115.7416384220123,1086.068148612976,1.122388076770396e-07,1.122388076770396e-07,0.0,950.0
38,48.0,0.0,48.0,1135.2085046768188,1086.3168668746948,1.6481108386092356e-07,1.6481108386092356e-07,0.0,952.0
39,47.0,0.0,47.0,1082.9576923847198,1118.5123405456543,1.0562521021425544e-07,1.0562521021425544e-07,0.0,953.0
40,50.0,0.0,50.0,1106.2143154144287,1091.9672229290009,1.477980735411631e-07,1.477980735411631e-07,0.0,950.0
41,50.0,0.0,50.0,1087.5241827964783,1070.0752577781677,1.4207471333747333e-07,1.4207471333747333e-07,0.0,950.0
42,46.0,0.0,46.0,1094.4542984962463,1087.5114967823029,1.0168543731693263e-07,1.0168543731693263e-07,0.0,954.0
43,46.0,0.0,46.0,1081.0696048736572,1082.8563389778137,1.385129971635183e-07,1.385129971635183e-07,0.0,954.0
44,47.0,0.0,47.0,1090.1254017353058,1088.7961099147797,1.684201827878087e-07,1.684201827878087e-07,0.0,953.0
45,49.0,0.0,49.0,1081.1233069896698,1078.2307975292206,9.155005186244889e-08,9.155005186244889e-08,1.0,951.0
46,49.0,0.0,49.0,1097.381105184555,1092.4653186798096,9.955601298473623e-08,9.955601298473623e-08,0.0,951.0
47,48.0,0.0,48.0,1111.976604938507,1086.634904384613,1.767804058900927e-07,1.767804058900927e-07,0.0,952.0
48,46.0,0.0,46.0,1077.7871704101562,1053.694816350937,1.2774107630740392e-07,1.2774107630740392e-07,0.0,954.0
49,49.0,0.0,49.0,1055.8525519371033,1049.9846260547638,1.269109984305776e-07,1.269109984305776e-07,0.0,951.0
50,47.0,0.0,47.0,1072.5742886066437,1071.5029847621918,1.3841325489166982e-07,1.3841325489166982e-07,0.0,953.0
51,47.0,0.0,47.0,1083.0352191925049,1083.302181005478,1.4176070772663975e-07,1.4176070772663975e-07,0.0,953.0
52,48.0,0.0,48.0,1087.040419101715,1096.1914067268372,9.505444902674034e-08,9.505444902674034e-08,0.0,952.0
53,47.0,0.0,47.0,1083.7504827976227,1069.269515991211,1.3727628143683287e-07,1.3727628143683287e-07,0.0,953.0
54,49.0,0.0,49.0,1078.829435825348,1064.6960337162018,5.652562178832005e-08,5.652562178832005e-08,0.0,951.0
55,49.0,0.0,49.0,1091.7618701457977,1088.3852598667145,1.3954541379536424e-07,1.3954541379536424e-07,0.0,951.0
56,48.0,0.0,48.0,1076.604566335678,1065.4055750370026,1.0323051109513658e-07,1.0323051109513658e-07,0.0,952.0
57,49.0,0.0,49.0,1409.4824740886688,1060.5071487426758,8.184006764155839e-08,8.184006764155839e-08,0.0,951.0
58,50.0,0.0,50.0,1071.0624964237213,1067.6214780807495,5.676715994488548e-08,5.676715994488548e-08,0.0,950.0
59,49.0,0.0,49.0,1070.229508638382,1064.290132522583,1.3665901737450933e-07,1.3665901737450933e-07,0.0,951.0
60,47.0,0.0,47.0,1537.1315491199493,1464.9120876789093,9.210402392571507e-08,9.210402392571507e-08,1.0,953.0
61,47.0,0.0,47.0,1521.1864647865295,1562.1200411319733,1.7841178053074546e-07,1.7841178053074546e-07,0.0,953.0
62,46.0,0.0,46.0,1736.8718359470367,1733.853173494339,7.022493382857356e-08,7.022493382857356e-08,0.0,954.0
63,48.0,0.0,48.0,1707.4116487503052,1704.484301328659,1.768039376002109e-07,1.768039376002109e-07,0.0,952.0
64,49.0,0.0,49.0,1737.895072221756,1733.9415805339813,7.110031770604372e-08,7.110031770604372e-08,0.0,951.0
65,48.0,0.0,48.0,1736.0687658786774,1733.9762003421783,6.952411472422709e-08,6.952411472422709e-08,0.0,952.0
66,50.0,0.0,50.0,1516.7327065467834,1557.6440451145172,1.1656974830364173e-07,1.1656974830364173e-07,0.0,950.0
67,49.0,0.0,49.0,1732.4347112178802,1729.5762429237366,8.070121436863296e-08,8.070121436863296e-08,0.0,951.0
