,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart,total_times_minimizer_missed,total_no_times_inequals_sat
31,10.0,86.0,10.0,293.31806802749634,287.33709812164307,-0.6988209387624722,-0.6988209387624722,0.0,904.0
32,10.0,65.0,10.0,364.1078221797943,360.3036720752716,-0.6638723774720123,-0.6638723774720123,1.0,925.0
33,10.0,88.0,10.0,372.4432430267334,431.7047209739685,-0.6905616930465355,-0.6905616930465355,0.0,902.0
34,10.0,92.0,10.0,380.70193791389465,363.19292187690735,-0.668546512496314,-0.668546512496314,1.0,898.0
35,10.0,108.0,10.0,377.1906487941742,362.48587918281555,-0.681504427002153,-0.681504427002153,0.0,882.0
36,10.0,122.0,10.0,383.66805601119995,367.9528110027313,-0.6704795161578881,-0.6704795161578881,0.0,868.0
37,10.0,75.0,10.0,379.7215349674225,371.1421072483063,-0.6834285812219874,-0.6834285812219874,2.0,915.0
38,10.0,98.0,10.0,398.6363379955292,422.5030539035797,-0.6210150552983489,-0.6210150552983489,0.0,892.0
39,10.0,76.0,10.0,377.5084409713745,365.7355899810791,-0.6766290049988283,-0.6766290049988283,0.0,914.0
40,10.0,118.0,10.0,390.73842906951904,373.6306586265564,-0.6525177900716659,-0.6525177900716659,0.0,872.0
41,10.0,87.0,10.0,384.234836101532,373.2028729915619,-0.641711371829621,-0.641711371829621,2.0,903.0
42,10.0,79.0,10.0,383.69783210754395,376.44616985321045,-0.6687518333355308,-0.6687518333355308,0.0,911.0
43,10.0,104.0,10.0,453.3011100292206,385.039834022522,-0.6473144394585959,-0.6473144394585959,0.0,886.0
44,10.0,110.0,10.0,399.7688970565796,385.46608996391296,-0.6876500972465949,-0.6876500972465949,0.0,880.0
45,10.0,54.0,10.0,378.9383296966553,373.79668617248535,-0.6672209347275379,-0.6672209347275379,0.0,936.0
46,10.0,71.0,10.0,389.167986869812,381.16674399375916,-0.6893660904307609,-0.6893660904307609,0.0,919.0
