,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,time_metod,min_func_val_metod,total_times_minimizer_missed,total_no_times_inequals_sat
60,47.0,0.0,1586.2621583938599,9.210402392571507e-08,0.0,953.0
61,47.0,0.0,1356.7784986495972,1.7841178053074546e-07,0.0,953.0
62,46.0,0.0,1354.9236726760864,7.022493382857356e-08,0.0,954.0
63,48.0,0.0,1712.6440320014954,1.768039376002109e-07,0.0,952.0
64,49.0,0.0,1735.5406370162964,7.110031770604372e-08,0.0,951.0
65,48.0,0.0,1652.5383281707764,6.952411472422709e-08,0.0,952.0
66,50.0,0.0,1726.2924013137817,1.1656974830364173e-07,0.0,950.0
67,49.0,0.0,1731.4526522159576,8.070121436863296e-08,0.0,951.0
68,49.0,0.0,1746.5797998905182,8.720218071053219e-08,0.0,951.0
69,48.0,0.0,1746.529108285904,1.5131271532527124e-07,0.0,952.0
70,48.0,0.0,1681.8348207473755,8.450255253642384e-08,0.0,952.0
71,49.0,0.0,1733.702737569809,9.593595200937629e-08,0.0,951.0
72,50.0,0.0,1769.669317483902,1.7132514756291857e-07,0.0,950.0
73,48.0,0.0,1067.9758217334747,1.6429059308101654e-07,0.0,952.0
74,49.0,0.0,1111.4520635604858,1.283752424828104e-07,0.0,951.0
75,49.0,0.0,1504.2501056194305,1.0991033825618471e-07,0.0,951.0
76,48.0,0.0,1739.4667475223541,1.1111526279629954e-07,0.0,952.0
77,49.0,0.0,1736.394863128662,9.871071158166375e-08,0.0,951.0
78,47.0,0.0,1669.4497830867767,5.9360034895472314e-08,0.0,953.0
79,49.0,0.0,1677.493644952774,1.639954669830204e-07,0.0,951.0
80,47.0,0.0,1624.3983674049377,1.6689810798040856e-07,0.0,953.0
81,48.0,0.0,1291.5249326229095,1.0477854759588672e-07,0.0,952.0
82,50.0,0.0,1713.9896638393402,7.661524824800823e-08,0.0,950.0
83,48.0,0.0,1632.215817451477,1.7818023677641479e-07,0.0,952.0
84,49.0,0.0,1715.348687171936,8.677127995135065e-08,0.0,951.0
85,49.0,0.0,1601.611258983612,1.3844781736853972e-07,0.0,951.0
86,48.0,0.0,1734.1036162376404,1.55172852930962e-07,0.0,952.0
87,47.0,0.0,1662.2515115737915,9.618213541382233e-08,0.0,953.0
88,47.0,0.0,1443.6779448986053,1.1352658414693689e-07,0.0,953.0
89,50.0,0.0,1500.7177653312683,1.0457937657841676e-07,0.0,950.0
90,46.0,0.0,1546.928986787796,9.047623739046073e-08,0.0,954.0
91,48.0,0.0,1696.5104501247406,1.7653687742686862e-07,0.0,952.0
92,47.0,0.0,1745.067042350769,1.757442800601892e-07,0.0,953.0
93,47.0,0.0,1718.6726703643799,8.417293419076592e-08,0.0,953.0
94,50.0,0.0,1711.2484579086304,8.826652315765779e-08,0.0,950.0
95,49.0,0.0,1661.7251884937286,8.687384455814633e-08,0.0,951.0
96,47.0,0.0,1723.3319871425629,1.7457582085297684e-07,0.0,953.0
97,45.0,0.0,1636.681449174881,7.836826525404293e-08,0.0,955.0
98,48.0,0.0,1705.1664280891418,9.248994069733935e-08,0.0,952.0
99,50.0,0.0,1701.5418643951416,1.6126868605990284e-07,0.0,950.0
